data,Poupanca
2024-01-01,0.5879
2024-02-01,0.5079
2024-03-01,0.5333
2024-04-01,0.6028
2024-05-01,0.5874
2024-06-01,0.5367
2024-07-01,0.5743
2024-08-01,0.5711
