data,Poupanca
2024-01-01,0.6698
2024-02-01,0.6331
2024-03-01,0.6097
2024-04-01,0.6697
2024-05-01,0.6721
2024-06-01,0.6707
2024-07-01,0.6767
2024-08-01,0.6731
