data,IPC_Fipe
2024-02-01,0.46
2024-03-01,0.26
2024-04-01,0.33
2024-05-01,0.09
2024-06-01,0.26
2024-07-01,0.06
2024-08-01,0.18
2024-09-01,0.18
2024-10-01,0.8
2024-11-01,1.17
2024-12-01,0.34
2025-01-01,0.24
