data,IGPDI_FGV
2024-01-01,-0.27%
2024-02-01,-0.41%
2024-03-01,-0.30%
2024-04-01,0.72%
2024-05-01,0.87%
2024-06-01,0.50%
2024-07-01,0.83%
2024-08-01,0.12%
2024-09-01,1.03%
2024-10-01,1.54%
2024-11-01,1.18%
2024-12-01,
